id,小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
389,景明佳园春景苑,雨花台,140,18919元/平米,2室1厅1厨1卫,低楼层 (共11层),74㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,一梯两户,有,70年,2019-06-27,经济适用房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
390,赞成佳邻美居,栖霞,178,23422元/平米,2室2厅1厨1卫,低楼层 (共6层),76㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,无,70年,2018-10-24,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
391,天泓山庄云山苑,栖霞,530,33125元/平米,3室2厅1厨2卫,中楼层 (共11层),160㎡,跃层,暂无数据,板楼,南 北,钢混结构,毛坯,一梯两户,有,70年,2018-07-20,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片
392,明发浦泰梦幻家,雨花台,161,21467元/平米,2室1厅1厨1卫,中楼层 (共19层),75㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,70年,2019-08-12,商品房,2017-07-07,普通住宅,满两年,非共有,"
                                有抵押 60万元 客户偿还
                              ",已上传房本照片
393,新河一村,鼓楼,306,78342元/平米,2室1厅1厨1卫,高楼层 (共7层),39.06㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯三户,无,70年,2019-12-12,房改房,2014-04-18,普通住宅,满五年,非共有,"
                                有抵押 55万元 建设银行 客户偿还
                              ",已上传房本照片
394,仙居雅苑,玄武,182,25107元/平米,4室2厅1厨2卫,高楼层 (共5层),72.49㎡,跃层,63.46㎡,板楼,南 北,砖混结构,简装,一梯两户,无,70年,2017-09-10,商品房,2007-08-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
395,泰来苑,浦口,213,16211元/平米,3室2厅1厨2卫,低楼层 (共24层),131.4㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,70年,2019-04-26,商品房,2011-12-31,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片
396,弘阳旭日上城三区,浦口,299,27853元/平米,3室1厅1厨1卫,高楼层 (共29层),107.35㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,70年,2019-07-04,商品房,2016-11-07,普通住宅,满两年,共有,"
                                有抵押 70万元 华夏银行 客户偿还
                              ",已上传房本照片
397,融侨观邸二期,浦口,330,24856元/平米,3室2厅1厨2卫,中楼层 (共11层),132.77㎡,平层,120㎡,板楼,南 北,钢混结构,毛坯,一梯两户,无,70年,2018-01-20,商品房,2015-11-26,普通住宅,满两年,共有,"
                                有抵押 57万元 客户偿还
                              ",已上传房本照片
398,岱山齐修北苑,雨花台,120,17143元/平米,2室1厅1厨1卫,低楼层 (共34层),70㎡,平层,暂无数据,暂无数据,南 北,未知结构,简装,一梯八户,暂无数据,70年,2019-11-12,经济适用房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片
399,创业新村,浦口,145,18069元/平米,2室2厅1厨1卫,高楼层 (共6层),80.25㎡,平层,暂无数据,板楼,南,混合结构,精装,一梯两户,无,未知,2019-11-07,房改房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                无抵押
                              ",未上传房本照片
400,良城美景家园,秦淮,374,35045元/平米,3室2厅1厨1卫,中楼层 (共11层),106.72㎡,平层,90.09㎡,板楼,南 北,钢混结构,精装,一梯两户,有,70年,2019-11-03,商品房,2009-10-19,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
401,高新花苑,浦口,107,18558元/平米,1室1厅1厨1卫,高楼层 (共6层),57.66㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯两户,无,70年,2019-09-29,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 30万元 客户偿还
                              ",未上传房本照片
402,明发云庭,浦口,220,24549元/平米,3室2厅1厨1卫,低楼层 (共11层),89.62㎡,平层,75.52㎡,板塔结合,南 北,钢混结构,毛坯,一梯两户,有,70年,2017-11-15,商品房,2017-10-10,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
403,雨花新村一村,雨花台,168,26608元/平米,2室1厅1厨1卫,中楼层 (共6层),63.14㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无,70年,2019-09-06,房改房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
404,芳草园,鼓楼,540,63530元/平米,2室1厅1厨1卫,高楼层 (共32层),85㎡,平层,暂无数据,板塔结合,西南,钢混结构,简装,两梯八户,有,70年,2019-10-08,房改房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片
405,紫鑫国际公寓,建邺,222,35721元/平米,1室1厅1厨1卫,低楼层 (共27层),62.15㎡,暂无数据,暂无数据,塔楼,西,钢混结构,精装,五梯二十户,有,70年,2019-11-21,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 70万元
                              ",未上传房本照片
406,恒大金碧天下湖光苑,溧水,125,8866元/平米,4室2厅1厨2卫,中楼层 (共11层),141㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,有,70年,2019-10-12,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片
407,开源小区二村,秦淮,145,28719元/平米,2室1厅1厨1卫,高楼层 (共6层),50.49㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯三户,无,70年,2018-12-03,房改房,2009-06-02,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
408,盈家春天,江宁,110,19563元/平米,1室1厅1厨1卫,中楼层 (共8层),56.23㎡,平层,43.8㎡,板楼,北,钢混结构,精装,两梯七十户,有,70年,2019-08-19,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
409,金东城世家一期,溧水,82,10790元/平米,3室1厅1厨2卫,中楼层 (共18层),76㎡,复式,暂无数据,塔楼,南,钢混结构,毛坯,两梯十二户,有,70年,2019-11-17,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 40万元 业主自还
                              ",未上传房本照片
410,横岭新寓,江宁,145,21642元/平米,2室1厅1厨1卫,中楼层 (共5层),67㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯两户,无,70年,2019-12-05,动迁安置房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
411,翠屏城,江宁,120,13954元/平米,3室1厅1厨1卫,中楼层 (共33层),86㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,70年,2019-11-22,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 60万元
                              ",未上传房本照片
412,营苑南路,玄武,135,20866元/平米,2室1厅1厨1卫,高楼层 (共7层),64.7㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无,70年,2019-03-03,房改房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片
413,姜家园,鼓楼,162,33062元/平米,2室1厅1厨1卫,高楼层 (共4层),49㎡,平层,暂无数据,暂无数据,南,未知结构,精装,一梯一户,暂无数据,70年,2019-12-27,房改房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
414,上城风景北苑,栖霞,150,15307元/平米,3室1厅1厨1卫,中楼层 (共14层),98㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯八户,有,70年,2019-12-18,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                有抵押
                              ",未上传房本照片
415,丁香花园,鼓楼,135,20366元/平米,2室1厅1厨1卫,中楼层 (共16层),66.29㎡,平层,暂无数据,板楼,西南,钢混结构,简装,两梯七户,有,70年,2019-09-03,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
416,金东城世家一期,溧水,83,10017元/平米,2室2厅1厨1卫,中楼层 (共5层),82.86㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,无,70年,2019-12-04,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                有抵押 5万元
                              ",未上传房本照片
417,清江西苑,鼓楼,880,43981元/平米,5室3厅1厨3卫,低楼层 (共7层),200.09㎡,暂无数据,183.02㎡,板楼,南 北,钢混结构,精装,一梯两户,无,70年,2018-04-04,商品房,2004-06-16,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
418,朗晴名居,鼓楼,600,50839元/平米,3室2厅1厨3卫,低楼层 (共6层),118.02㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯两户,无,70年,2019-05-10,商品房,2004-04-03,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
419,翠岛花城荷田苑,雨花台,575,42911元/平米,3室2厅1厨2卫,中楼层 (共10层),134㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯两户,有,70年,2020-01-01,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
420,共青团路,雨花台,224,28525元/平米,3室1厅1厨1卫,低楼层 (共7层),78.53㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,一梯两户,无,70年,2019-10-14,商品房,1991-10-02,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
421,五矿御江金城,建邺,640,45912元/平米,3室2厅1厨2卫,中楼层 (共28层),139.4㎡,平层,暂无数据,板楼,南 西,钢混结构,精装,两梯三户,有,70年,2019-08-25,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 410万元 中国银行 客户偿还
                              ",未上传房本照片
422,和燕园,鼓楼,150,23825元/平米,2室1厅1厨1卫,高楼层 (共7层),62.96㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,无,70年,2019-04-08,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
423,武夷绿洲品茗苑,江宁,242,31889元/平米,2室2厅1厨1卫,低楼层 (共6层),75.89㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,无,70年,2019-12-08,商品房,2016-12-13,普通住宅,满两年,共有,"
                                有抵押 130万元
                              ",已上传房本照片
424,明月港湾星河湾,江宁,233,26298元/平米,2室2厅1厨1卫,中楼层 (共6层),88.6㎡,平层,77.47㎡,板楼,南 北,钢混结构,简装,一梯两户,无,70年,2019-04-01,商品房,2012-07-30,普通住宅,满五年,共有,"
                                有抵押 客户偿还
                              ",已上传房本照片
425,后标营50号,秦淮,428,33235元/平米,3室2厅1厨2卫,低楼层 (共7层),128.78㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,一梯两户,无,70年,2019-02-23,商品房,1998-02-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
426,兴贤佳园近贤苑,玄武,165,23755元/平米,2室1厅1厨1卫,中楼层 (共18层),69.46㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯五户,有,70年,2019-12-22,房改房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
427,天华绿谷庄园,浦口,170,18889元/平米,2室2厅1厨1卫,低楼层 (共11层),90㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,有,70年,2019-09-02,商品房,2013-10-29,普通住宅,满五年,共有,"
                                有抵押 40万元 公积金 业主自还
                              ",已上传房本照片
428,新城市广场,鼓楼,252,47656元/平米,2室2厅1厨2卫,中楼层 (共18层),52.88㎡,暂无数据,39.67㎡,塔楼,东,钢混结构,简装,三梯十六户,有,70年,2019-03-15,商品房,2015-08-21,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
429,东郊小镇第三街区,江宁,210,18565元/平米,3室2厅1厨2卫,低楼层 (共6层),113.12㎡,平层,100㎡,板塔结合,南 北,钢混结构,毛坯,一梯两户,无,70年,2017-04-16,商品房,2009-05-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
430,天坛新寓,秦淮,180,27574元/平米,2室1厅1厨1卫,中楼层 (共7层),65.28㎡,平层,57.21㎡,板楼,南 北,钢混结构,简装,一梯两户,有,70年,2018-04-22,房改房,2001-10-23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
431,凤梧园,栖霞,150,19231元/平米,2室1厅1厨1卫,高楼层 (共32层),78㎡,平层,暂无数据,暂无数据,南 西,未知结构,毛坯,四梯八户,有,70年,2019-10-11,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
432,芳庭潘园,六合,123,20500元/平米,2室1厅1厨1卫,中楼层 (共6层),60㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,未知,2019-09-13,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
433,保利梧桐语花园,江宁,261,26274元/平米,3室1厅1厨1卫,低楼层 (共18层),99.34㎡,平层,78.82㎡,塔楼,南 北,钢混结构,精装,两梯七户,有,70年,2019-06-07,商品房,2016-04-28,普通住宅,满两年,非共有,"
                                有抵押 60万元 交通银行 客户偿还
                              ",已上传房本照片
434,城开怡家,建邺,690,36250元/平米,5室2厅1厨3卫,高楼层 (共11层),190.35㎡,跃层,168.66㎡,板塔结合,南 北,钢混结构,精装,一梯两户,有,70年,2018-08-09,商品房,2012-09-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
435,南方花园B组团,江宁,193,26922元/平米,2室2厅1厨1卫,高楼层 (共7层),71.69㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,无,70年,2019-04-17,商品房,2006-04-26,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
436,双龙嘉园梅香路5号,雨花台,180,27693元/平米,2室1厅1厨1卫,低楼层 (共18层),65㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯四户,有,70年,2019-09-05,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片
437,马道街,秦淮,275,35953元/平米,3室1厅1厨1卫,中楼层 (共5层),76.49㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,一梯两户,无,70年,2019-12-24,经济适用房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
438,冠城大通二期松苑,六合,135,15518元/平米,3室2厅1厨1卫,高楼层 (共18层),87㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,两梯三户,有,70年,2019-11-12,商品房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                暂无数据
                              ",未上传房本照片
439,西善花苑祥和园,雨花台,90,15160元/平米,1室1厅1厨1卫,中楼层 (共18层),59.37㎡,暂无数据,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,70年,2019-06-19,经济适用房,2019-06-22,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片
440,奥斯博恩,江宁,235,16224元/平米,3室2厅1厨3卫,低楼层 (共3层),144.85㎡,暂无数据,南 北,钢混结构,精装,暂无数据,70年,null,null,null,2019-12-02,商品房,暂无数据,别墅,暂无数据,共有,"
                                有抵押 30万元 客户偿还
                              ",未上传房本照片
441,宋都南郡国际南区,雨花台,162,23479元/平米,2室1厅1厨1卫,低楼层 (共18层),69㎡,平层,暂无数据,塔楼,南,钢混结构,毛坯,两梯四户,有,70年,2019-12-27,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 30万元 业主自还
                              ",未上传房本照片
442,双龙嘉园石华街16号,雨花台,190,27143元/平米,2室2厅1厨1卫,低楼层 (共16层),70㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯四户,有,70年,2019-04-13,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
443,明发滨江新城二期,浦口,270,20698元/平米,3室1厅1厨2卫,低楼层 (共26层),130.45㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,70年,2019-01-31,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 130万元 客户偿还
                              ",未上传房本照片
444,乐府江南家园,浦口,198,18858元/平米,3室2厅1厨1卫,高楼层 (共10层),105㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯四户,有,70年,2019-02-27,动迁安置房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
445,苏宁滨江壹号,建邺,675,41106元/平米,3室2厅1厨2卫,高楼层 (共43层),164.21㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,70年,2019-05-30,商品房,2015-07-09,普通住宅,满两年,共有,"
                                有抵押 200万元
                              ",已上传房本照片
446,花港幸福城杜鹃园,栖霞,166,19052元/平米,3室1厅1厨1卫,中楼层 (共27层),87.13㎡,平层,64.72㎡,板楼,南 北,钢混结构,简装,两梯四户,有,70年,2019-12-06,限价商品房,2015-12-25,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
447,荣盛鹭岛荣府,六合,122,10518元/平米,3室2厅1厨2卫,中楼层 (共27层),116㎡,平层,暂无数据,塔楼,南 北,钢混结构,毛坯,两梯三户,有,70年,2019-11-22,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 50万元
                              ",未上传房本照片
448,迎江园,鼓楼,319,77054元/平米,1室1厅1厨1卫,高楼层 (共7层),41.4㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯三户,无,70年,2019-08-12,房改房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 110万元 渤海银行
                              ",未上传房本照片
449,湖滨公寓,江宁,229,32163元/平米,2室1厅1厨1卫,高楼层 (共6层),71.2㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯两户,无,70年,2019-02-27,商品房,2012-12-26,普通住宅,满五年,非共有,"
                                有抵押 20万元 客户偿还
                              ",已上传房本照片
450,百利广场,江宁,120,15342元/平米,2室2厅1厨1卫,高楼层 (共11层),78.22㎡,平层,暂无数据,塔楼,南,钢混结构,精装,一梯七户,有,70年,2018-09-07,商品房,2016-10-12,普通住宅,满两年,共有,"
                                有抵押 30万元
                              ",已上传房本照片
451,金陵新八村,鼓楼,126,27045元/平米,2室1厅1厨1卫,高楼层 (共7层),46.59㎡,平层,41.44㎡,板楼,南 北,钢混结构,简装,一梯三户,无,70年,2019-04-09,房改房,2003-06-12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
452,虎踞路,鼓楼,382,76218元/平米,2室1厅1厨1卫,中楼层 (共7层),50.12㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,一梯两户,无,70年,2019-04-29,房改房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
453,翠岭银河,雨花台,162,21629元/平米,2室1厅1厨1卫,中楼层 (共11层),74.9㎡,平层,暂无数据,板塔结合,南 北,钢混结构,简装,一梯三户,有,70年,2019-08-14,经济适用房,2016-08-01,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
454,钟山花园城博雅居,玄武,510,46932元/平米,3室2厅1厨1卫,高楼层 (共9层),108.67㎡,平层,90.93㎡,板楼,南 北,钢混结构,简装,一梯两户,有,70年,2019-03-04,商品房,2011-03-31,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
455,富丽山庄,秦淮,395,29600元/平米,4室2厅1厨2卫,低楼层 (共7层),133.45㎡,平层,119.53㎡,板楼,南 北,砖混结构,精装,一梯一户,无,70年,2019-03-29,商品房,2009-03-04,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
456,归云堂15巷,鼓楼,98,22592元/平米,1室1厅1厨1卫,高楼层 (共6层),43.38㎡,平层,37.67㎡,板楼,南,钢混结构,简装,一梯两户,无,70年,2018-12-28,房改房,2014-10-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
457,雨花村,秦淮,170,27562元/平米,3室1厅1厨1卫,中楼层 (共5层),61.68㎡,平层,暂无数据,板楼,东南 南,钢混结构,其他,一梯两户,无,70年,2019-11-16,房改房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                无抵押
                              ",未上传房本照片
458,南方花园B组团,江宁,88,26740元/平米,1室1厅1厨1卫,中楼层 (共7层),32.91㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯三户,无,70年,2019-09-21,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                有抵押 17万元
                              ",未上传房本照片
459,中央北路126号院,鼓楼,335,25847元/平米,4室2厅1厨2卫,中楼层 (共7层),129.61㎡,平层,113.54㎡,板楼,南 北,钢混结构,简装,一梯两户,有,70年,2019-03-14,房改房,2015-06-30,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
460,托乐嘉吉邻居,江宁,293,29981元/平米,2室2厅1厨1卫,高楼层 (共18层),97.73㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯三户,有,70年,2018-09-12,商品房,2016-07-28,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
461,百家湖西花园伦敦城,江宁,141,29835元/平米,2室1厅1厨1卫,中楼层 (共18层),47.26㎡,平层,暂无数据,板塔结合,北,钢混结构,精装,两梯六户,有,70年,2019-12-02,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
462,书香名门,江宁,141,23454元/平米,2室1厅1厨1卫,中楼层 (共11层),60.12㎡,平层,43.27㎡,板楼,南,砖混结构,精装,一梯八户,有,70年,2019-12-05,商品房,2015-04-24,普通住宅,满两年,共有,"
                                有抵押 50万元
                              ",已上传房本照片
463,峨嵋岭10号,鼓楼,399,97963元/平米,2室1厅1厨1卫,低楼层 (共3层),40.73㎡,平层,暂无数据,板楼,南 北,砖木结构,毛坯,一梯两户,无,70年,2019-06-05,房改房,2016-06-01,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
464,摄山星城齐东苑,栖霞,85,11199元/平米,2室1厅1厨1卫,高楼层 (共6层),75.9㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,毛坯,一梯两户,无,70年,2019-03-23,经济适用房,2018-08-27,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片
465,溧水万达广场,溧水,153,14462元/平米,3室2厅1厨1卫,中楼层 (共18层),105.8㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,暂无数据,70年,2019-09-28,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                有抵押 40万元
                              ",未上传房本照片
466,拓园,建邺,159,26011元/平米,2室1厅1厨1卫,高楼层 (共6层),61.13㎡,暂无数据,暂无数据,板楼,南,钢混结构,简装,一梯两户,无,70年,2019-09-23,房改房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
467,观山悦,浦口,220,23656元/平米,2室2厅1厨1卫,高楼层 (共18层),93㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯三户,有,70年,2019-10-22,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 有十几万
                              ",未上传房本照片
468,朗诗熙园,秦淮,139,38838元/平米,1室0厅1厨1卫,中楼层 (共25层),35.79㎡,平层,25.16㎡,板楼,北,钢混结构,精装,三梯十四户,有,70年,2018-05-19,商品房,2015-12-26,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
469,天地新城天玑座,江宁,219,23323元/平米,2室2厅1厨1卫,中楼层 (共6层),93.9㎡,平层,83.93㎡,板塔结合,南 北,钢混结构,精装,一梯两户,无,70年,2019-09-09,商品房,2017-06-20,普通住宅,满两年,非共有,"
                                有抵押 6万元 业主自还
                              ",已上传房本照片
470,丁香花园,鼓楼,178,21960元/平米,2室2厅1厨1卫,中楼层 (共17层),81.06㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,70年,2019-09-06,房改房,暂无数据,普通住宅,暂无数据,暂无数据,"
                                无抵押
                              ",未上传房本照片
471,玲珑翠谷,栖霞,310,32095元/平米,3室2厅1厨1卫,中楼层 (共6层),96.59㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,有,70年,2019-11-12,商品房,2016-07-08,普通住宅,满两年,共有,"
                                有抵押 93万元 客户偿还
                              ",已上传房本照片
472,恒永西苑,雨花台,175,20115元/平米,3室1厅1厨1卫,低楼层 (共34层),87㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,三梯八户,有,70年,2019-10-15,动迁安置房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
473,老菜市,鼓楼,336,46041元/平米,3室1厅1厨1卫,中楼层 (共7层),72.98㎡,平层,暂无数据,板楼,南 北,砖混结构,精装,一梯两户,无,70年,2019-11-06,房改房,暂无数据,普通住宅,暂无数据,共有,"
                                有抵押 110万元 客户偿还
                              ",未上传房本照片
474,燕歌园2园,栖霞,97,19788元/平米,1室1厅1厨1卫,中楼层 (共24层),49.02㎡,平层,暂无数据,塔楼,南,钢混结构,简装,两梯八户,有,70年,2019-08-28,经济适用房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
475,中锐星湖名邸,江宁,400,37220元/平米,3室2厅1厨2卫,低楼层 (共33层),107.47㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,70年,2019-05-13,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                有抵押 140万元 客户偿还
                              ",未上传房本照片
476,金箔新村,江宁,176,26667元/平米,2室2厅1厨1卫,中楼层 (共6层),66㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,无,70年,2019-11-25,房改房,2012-04-06,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
477,康馨花园(秦淮),秦淮,170,28400元/平米,2室1厅1厨1卫,低楼层 (共7层),59.86㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,无,70年,2019-09-07,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
478,怡景园,江宁,126,19008元/平米,2室2厅1厨1卫,中楼层 (共24层),66.29㎡,平层,51.61㎡,板楼,南 北,钢混结构,毛坯,一梯八户,有,70年,2019-12-06,动迁安置房,2018-11-22,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片
479,阳光里,秦淮,220,27333元/平米,3室1厅1厨1卫,高楼层 (共7层),80.49㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,无,70年,2019-11-21,房改房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片
480,金城花园,鼓楼,470,31009元/平米,4室2厅1厨2卫,中楼层 (共7层),151.57㎡,错层,135㎡,板楼,南 北,钢混结构,简装,一梯两户,无,70年,2018-09-17,商品房,2006-04-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
481,恒大金碧天下湖光苑,溧水,105,8336元/平米,4室1厅1厨1卫,低楼层 (共11层),125.96㎡,平层,101㎡,板楼,东 西,钢混结构,精装,一梯两户,有,70年,2019-03-04,商品房,2015-04-25,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
482,砂珠巷小区,秦淮,210,30013元/平米,2室1厅1厨1卫,低楼层 (共35层),69.97㎡,平层,暂无数据,板楼,西南,钢混结构,精装,四梯十二户,有,70年,2019-10-11,商品房,2016-08-05,普通住宅,满两年,共有,"
                                有抵押 67万元 业主自还
                              ",已上传房本照片
